Province_TH,Province_EN,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
    กรุงเทพมหานคร,    Bangkok,25749.0,25615.0,31199.0,30334.0,29647.0,29969.2,33957.0,35023.7,34425.64,33085.7
    สมุทรปราการ,    Samut Prakan,15683.0,15910.0,16753.0,18450.0,19973.0,20158.2,25861.0,26192.9,22747.21,22331.8
    นนทบุรี,    Nonthaburi,25950.0,26414.0,28329.0,29487.0,32423.0,29099.3,28731.0,26946.6,30812.06,31381.0
    ปทุมธานี,    Pathum Thani,21731.0,19468.0,21910.0,22460.0,23118.0,18993.2,30669.0,29514.0,30197.07,29770.0
    พระนครศรีอยุธยา,    Phra Nakhon Si Ayutthaya,15859.0,16757.0,19201.0,20717.0,18789.0,17534.3,25216.0,20493.7,20409.63,22218.1
    อ่างทอง,    Ang Thong,13318.0,13431.0,13432.0,20773.0,17960.0,16591.2,21273.0,21182.5,19633.96,17573.6
    ลพบุรี,    Lop Buri,15870.0,14462.0,15386.0,16764.0,14433.0,14875.4,17357.0,15944.8,14910.71,17968.9
    สิงห์บุรี,    Sing Buri,16209.0,14988.0,13792.0,17787.0,15643.0,19207.1,23475.0,22118.2,19631.55,22136.8
    ชัยนาท,    Chai Nat,13358.0,12841.0,12162.0,14272.0,16110.0,17391.9,15536.0,17766.6,17090.91,17163.1
    สระบุรี,    Saraburi,17063.0,15467.0,15783.0,17378.0,17228.0,19377.0,21413.0,22765.0,22811.16,23017.1
    ชลบุรี,    Chon Buri,19770.0,21048.0,23077.0,21312.0,21123.0,20572.8,25499.0,24934.2,25704.1,24182.0
    ระยอง,    Rayong,17215.0,18165.0,19196.0,18559.0,17689.0,18546.3,21024.0,21872.5,23303.13,24433.5
    จันทบุรี,    Chanthaburi,17279.0,16449.0,17830.0,17290.0,19828.0,18861.1,19595.0,17597.3,20649.74,23350.8
    ตราด,    Trat,13296.0,13463.0,13010.0,13365.0,13439.0,17050.8,15663.0,16706.3,18126.65,18989.0
    ฉะเชิงเทรา,    Chachoengsao,14646.0,16231.0,16531.0,19009.0,18295.0,17958.4,23080.0,26070.7,23342.12,21782.6
    ปราจีนบุรี,    Prachin Buri,14539.0,16471.0,17944.0,18472.0,18565.0,22883.2,19734.0,18314.7,20789.55,20994.5
    นครนายก,    Nakhon Nayok,13091.0,13584.0,13167.0,13574.0,12889.0,13806.9,16460.0,17696.9,17482.59,18153.5
    สระแก้ว,    Sa Kaeo,8342.0,9975.0,15120.0,12396.0,12697.0,15129.8,19531.0,18571.1,20227.36,20576.7
    ราชบุรี,    Ratchaburi,16961.0,14786.0,17585.0,16951.0,17082.0,13847.3,16760.0,17253.2,17514.63,15083.9
    กาญจนบุรี,    Kanchanaburi,13821.0,12457.0,15772.0,15669.0,16243.0,13776.7,17220.0,17301.1,17186.7,15764.8
    สุพรรณบุรี,    Suphan Buri,12645.0,11892.0,12642.0,11924.0,13104.0,11907.6,12393.0,13450.4,14868.54,14146.1
    นครปฐม,    Nakhon Pathom,19070.0,18139.0,17890.0,17308.0,17064.0,15980.5,20409.0,21305.4,25876.36,26025.2
    สมุทรสาคร,    Samut Sakhon,14197.0,14076.0,15045.0,18074.0,15869.0,18163.8,18165.0,18565.4,22559.61,22876.7
    สมุทรสงคราม,    Samut Songkhram,11833.0,9918.0,13388.0,17830.0,16546.0,15600.7,16953.0,16557.8,19510.69,18801.0
    เพชรบุรี,    Phetchaburi,13144.0,13256.0,13956.0,14509.0,17102.0,18274.6,19141.0,18469.4,20170.13,22154.2
    ประจวบคีรีขันธ์,    Prachuap Khiri Khan,16477.0,15977.0,17693.0,15782.0,16161.0,17236.2,21452.0,22393.0,25914.62,21267.7
    เชียงใหม่,    Chiang Mai,12606.0,12480.0,13988.0,14234.0,14775.0,15606.9,14585.0,11703.5,13731.68,11863.8
    ลำพูน,    Lamphun,12791.0,12789.0,14370.0,16476.0,15968.0,16604.9,17898.0,20380.7,20062.78,20549.9
    ลำปาง,    Lampang,12767.0,11360.0,11879.0,10744.0,12433.0,14692.6,15194.0,15101.9,16020.52,15314.8
    อุตรดิตถ์,    Uttaradit,12974.0,11217.0,9994.0,10275.0,11274.0,13432.6,12016.0,13550.2,15219.76,15814.5
    แพร่,    Phrae,10454.0,11491.0,10321.0,10695.0,13539.0,14135.1,13959.0,15478.6,15454.61,16449.2
    น่าน,    Nan,11626.0,11578.0,10841.0,12290.0,12571.0,14279.7,13623.0,14078.3,13919.72,14165.2
    พะเยา,    Phayao,9815.0,10495.0,9547.0,10399.0,11202.0,12348.1,11484.0,11245.1,11835.15,13782.7
    เชียงราย,    Chiang Rai,10484.0,10702.0,10157.0,10337.0,11430.0,12725.5,11391.0,11068.2,11230.83,12074.6
    แม่ฮ่องสอน,    Mae Hong Son,6147.0,5333.0,5917.0,5283.0,6332.0,7223.7,7879.0,7405.1,9686.13,12131.4
    นครสวรรค์,    Nakhon Sawan,10045.0,10699.0,11791.0,11683.0,13194.0,13847.8,13933.0,14268.4,16192.62,17128.4
    อุทัยธานี,    Uthai Thani,10260.0,9726.0,10728.0,12000.0,11720.0,12709.6,13853.0,13082.6,15689.5,16402.0
    กำแพงเพชร,    Kamphaeng Phet,13196.0,12461.0,14401.0,13423.0,15050.0,13539.7,15006.0,16359.5,17880.0,17370.8
    ตาก,    Tak,9568.0,8874.0,9729.0,9615.0,10389.0,10260.7,12657.0,13148.8,13918.75,15175.6
